0,2009,14264
1,2007,12032
2,2016,13560
3,2002,12029
4,2014,14157
5,2008,14287
6,2000,13721
7,2004,14010
8,2017,14689
9,2017,12670
10,2016,13157
11,2017,13611
12,2010,14463
13,2004,13253
14,2012,13552
15,2011,14841
16,2006,14254
17,2007,13968
18,2004,13628
19,2004,13920
20,2014,14527
21,2006,13853
22,2006,13249
23,2006,15194
24,2006,15056
25,2000,14010
26,2001,13359
27,2014,11896
28,2009,14555
29,2005,13986
30,2001,13494
31,2003,14392
32,2005,15287
33,2011,13482
34,2011,13985
35,2002,14387
36,2014,15308
37,2003,14194
38,2015,14217
39,2018,14580
40,2008,13983
41,2006,16170
42,2001,13245
43,2001,12515
44,2007,14483
45,2004,13942
46,2013,14801
47,2000,14041
48,2005,13752
49,2013,13468
50,2011,13666
51,2002,13492
52,2008,14236
53,2007,14086
54,2003,13349
55,2008,13711
56,2011,12364
57,2000,13324
58,2006,14675
59,2018,14328
60,2014,13751
61,2002,15755
62,2008,14668
63,2013,14769
64,2000,14492
65,2005,14235
66,2000,15534
67,2011,15002
68,2000,14895
69,2017,14057
70,2001,13378
71,2004,15045
72,2008,12802
73,2010,12526
74,2009,14859
75,2009,13225
76,2004,13006
77,2017,15508
78,2017,14369
79,2008,14304
80,2011,12415
81,2000,14152
82,2015,12739
83,2011,14234
84,2006,14660
85,2008,14403
86,2011,12833
87,2002,12867
88,2010,15661
89,2008,15752
90,2004,13215
91,2011,14109
92,2014,14433
93,2001,12968
94,2006,14673
95,2008,12009
96,2010,13381
97,2002,14623
98,2007,13466
99,2016,14761
100,2011,13983
101,2018,13815
102,2016,13461
103,2018,15059
104,2016,12560
105,2017,13539
106,2000,13406
107,2006,13449
108,2009,13886
109,2012,12887
110,2014,15027
111,2014,13141
112,2014,14185
113,2002,13306
114,2004,14271
115,2016,15063
116,2000,14191
117,2002,13192
118,2016,13051
119,2006,13367
120,2002,14903
121,2011,14858
122,2008,14998
123,2017,15152
124,2005,14118
125,2016,14019
126,2015,15522
127,2012,15068
128,2009,14257
129,2001,13028
130,2007,13680
131,2012,12802
132,2002,13997
133,2008,13954
134,2002,14881
135,2009,14069
136,2013,14055
137,2003,12832
138,2002,13620
139,2000,13147
140,2008,12608
141,2011,12956
142,2000,12745
143,2010,15232
144,2002,12581
145,2006,14797
146,2003,13180
147,2007,14107
148,2018,13986
149,2012,13140
150,2012,14449
151,2007,12941
152,2005,16149
153,2012,13269
154,2003,12166
155,2012,13688
156,2005,12701
157,2015,15111
158,2005,12753
159,2017,12882
160,2014,15091
161,2005,13001
162,2012,15471
163,2001,13021
164,2018,13051
165,2010,11832
166,2006,13488
167,2009,12276
168,2000,12197
169,2016,12822
170,2006,15082
171,2010,13968
172,2014,15186
173,2012,12624
174,2002,13919
175,2015,14088
176,2005,15362
177,2018,13780
178,2015,14204
179,2012,13545
180,2001,13304
181,2007,13764
182,2012,12905
183,2001,14385
184,2016,13925
185,2014,14211
186,2006,13463
187,2006,13074
188,2011,14966
189,2006,13657
190,2017,12680
191,2016,14316
192,2015,15940
193,2012,11992
194,2000,14144
195,2011,12875
196,2016,15364
197,2003,14958
198,2000,14610
199,2001,13106
200,2012,14629
201,2010,13112
202,2006,13159
203,2018,13758
204,2005,12979
205,2006,14068
206,2015,12264
207,2006,13359
208,2011,14851
209,2015,12465
210,2011,12605
211,2005,15802
